"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"1","La Chaux-des-Breuleux","La Chaux-des-Breuleux","La Chaux-des-Breuleux","JU",82.75862069,"La Chaux-des-Breuleux","La Chaux-des-Breuleux","La Chaux-des-Breuleux","JU","JU","JU",82.75862069,82.75862069,82.75862069
"2","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","VD",80.555555556,"Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)","VD","VD","VD",80.555555556,80.555555556,80.555555556
"3","Mergoscia","Mergoscia","Mergoscia","TI",78.571428571,"Mergoscia","Mergoscia","Mergoscia","TI","TI","TI",78.571428571,78.571428571,78.571428571
"4","Ferreyres","Ferreyres","Ferreyres","VD",78.571428571,"Ferreyres","Ferreyres","Ferreyres","VD","VD","VD",78.571428571,78.571428571,78.571428571
"5","Fontaines-sur-Grandson","Fontaines-sur-Grandson","Fontaines-sur-Grandson","VD",78.021978022,"Fontaines-sur-Grandson","Fontaines-sur-Grandson","Fontaines-sur-Grandson","VD","VD","VD",78.021978022,78.021978022,78.021978022
"6","Oberems","Oberems","Oberems","VS",76.811594203,"Oberems","Oberems","Oberems","VS","VS","VS",76.811594203,76.811594203,76.811594203
"7","Nenzlingen","Nenzlingen","Nenzlingen","BL",76.734693878,"Nenzlingen","Nenzlingen","Nenzlingen","BL","BL","BL",76.734693878,76.734693878,76.734693878
"8","Lajoux (JU)","Lajoux JU","Lajoux JU","JU",76.470588235,"Lajoux (JU)","Lajoux JU","Lajoux JU","JU","JU","JU",76.470588235,76.470588235,76.470588235
"9","Buseno","Buseno","Buseno","GR",76.315789474,"Buseno","Buseno","Buseno","GR","GR","GR",76.315789474,76.315789474,76.315789474
"10","Romainmôtier-Envy","Romainmôtier-Envy","Romainmôtier-Envy","VD",75.862068966,"Romainmôtier-Envy","Romainmôtier-Envy","Romainmôtier-Envy","VD","VD","VD",75.862068966,75.862068966,75.862068966
"11","La Praz","La Praz","La Praz","VD",75.824175824,"La Praz","La Praz","La Praz","VD","VD","VD",75.824175824,75.824175824,75.824175824
