"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",61.3,38.7,100,162,118,"118/162"
2,"Bern","Berne","Berna",0,0,50,334,0,"0/334"
3,"Luzern","Lucerne","Lucerna",59,41,100,80,67,"67/80"
4,"Uri","Uri","Uri",0,0,50,19,0,"0/19"
5,"Schwyz","Schwyz","Svitto",44.9,55.1,0,30,13,"13/30"
6,"Obwalden","Obwald","Obvaldo",0,0,50,7,0,"0/7"
7,"Nidwalden","Nidwald","Nidvaldo",60.5,39.5,100,11,5,"5/11"
8,"Glarus","Glaris","Glarona",0,0,50,3,0,"0/3"
9,"Zug","Zoug","Zugo",0,0,50,11,0,"0/11"
10,"Freiburg","Fribourg","Friburgo",59.8,40.2,100,128,99,"99/128"
11,"Solothurn","Soleure","Soletta",61.8,38.2,100,107,102,"102/107"
12,"Basel-Stadt","Bâle-Ville","Basilea Città",0,0,50,3,0,"0/3"
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",63.6,36.4,100,86,57,"57/86"
14,"Schaffhausen","Schaffhouse","Sciaffusa",0,0,50,26,0,"0/26"
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",54.4,45.6,100,20,6,"6/20"
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",0,0,50,6,0,"0/6"
17,"St. Gallen","Saint-Gall","San Gallo",51.6,48.4,100,77,40,"40/77"
18,"Graubünden","Grisons","Grigioni",59.1,40.9,100,101,97,"97/101"
19,"Aargau","Argovie","Argovia",59.8,40.2,100,210,150,"150/210"
20,"Thurgau","Thurgovie","Turgovia",53.3,46.7,100,80,70,"70/80"
21,"Tessin","Tessin","Ticino",64.2,35.8,100,108,91,"91/108"
22,"Waadt","Vaud","Vaud",62.6,37.4,100,302,278,"278/302"
23,"Wallis","Valais","Vallese",58.6,41.4,100,122,111,"111/122"
24,"Neuenburg","Neuchâtel","Neuchâtel",0,0,50,27,0,"0/27"
25,"Genf","Genève","Ginevra",0,0,50,45,0,"0/45"
26,"Jura","Jura","Giura",0,0,50,53,0,"0/53"
