"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,36.2,36.2,63.8,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","In Aeugst am Albis hat die Justizinitiative keine Mehrheit gefunden. Auf 63,8 Prozent der abgegebenen Stimmzettel stand ein Nein. Aeugst am Albis hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","L'initiative sur la justice n'a pas trouvé de majorité à Aeugst am Albis. Le texte a été rejeté avec 63,8 pour cent de non. Aeugst am Albis a rejeté l'initiative, tout comme son canton.","Nel comune di Aeugst am Albis l'Iniziativa sulla giustizia è stata bocciata con il 63,8 percento dei voti. Il comune di Aeugst am Albis bocciando l’iniziativa si è espresso come il suo cantone."
2,62.5,62.5,37.5,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","62,5 Prozent der Abstimmenden in der Gemeinde Affoltern am Albis haben Ja gesagt zur Justizinitiative. Affoltern am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","A Affoltern am Albis, les habitants sont favorables à l'initiative sur la justice. Ils ont validé le texte avec 62,5 pour cent de oui. Affoltern am Albis a accepté l'initiative, contrairement à son canton.","Con il 62,5 percento di ""sì"", i cittadini del comune di Affoltern am Albis hanno accolto l'Iniziativa sulla giustizia. Il comune di Affoltern am Albis approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
3,83.4,83.4,16.6,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","83,4 Prozent der Abstimmenden in der Gemeinde Bonstetten haben Ja gesagt zur Justizinitiative. Bonstetten hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","A Bonstetten, les habitants sont favorables à l'initiative sur la justice. Ils ont validé le texte avec 83,4 pour cent de oui. Bonstetten a accepté l'initiative, contrairement à son canton.","Con il 83,4 percento di ""sì"", i cittadini del comune di Bonstetten hanno accolto l'Iniziativa sulla giustizia. Il comune di Bonstetten approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
4,58,58,42,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","Die Gemeinde Hausen am Albis hat die Initiative ""Für eine Schweiz ohne synthetische Pestizide"" mit 58 Prozent angenommen. Hausen am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","A Hausen am Albis, les habitants disent oui à 58 pour cent à l'initiative sur la justice. Hausen am Albis a accepté l'initiative, contrairement à son canton.","Nel comune di Hausen am Albis l'Iniziativa popolare “Per la designazione dei giudici federali mediante sorteggio” è stata approvata con il 58 percento dei voti. Il comune di Hausen am Albis approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
5,61.3,61.3,38.7,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Ja zur Justizinitiative in Hedingen: Mit 61,3 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Hedingen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Les citoyens de Hedingen approuvent avec 61,3 pour cent de oui l'initiative ""Désignation des juges fédéraux par tirage au sort"". Hedingen a accepté l'initiative, contrairement à son canton.","Sì all'Iniziativa sulla giustizia nel comune di Hedingen: i cittadini hanno approvato il testo con il 61,3 percento dei voti. Il comune di Hedingen approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
6,60.7,60.7,39.3,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","60,7 Prozent der Abstimmenden in der Gemeinde Kappel am Albis haben Ja gesagt zur Justizinitiative. Kappel am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","A Kappel am Albis, les habitants sont favorables à l'initiative sur la justice. Ils ont validé le texte avec 60,7 pour cent de oui. Kappel am Albis a accepté l'initiative, contrairement à son canton.","Con il 60,7 percento di ""sì"", i cittadini del comune di Kappel am Albis hanno accolto l'Iniziativa sulla giustizia. Il comune di Kappel am Albis approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
7,58.2,58.2,41.8,"Knonau ZH","Knonau (ZH)","Knonau ZH","Ja zur Justizinitiative in Knonau: Mit 58,2 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Knonau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Les citoyens de Knonau approuvent avec 58,2 pour cent de oui l'initiative ""Désignation des juges fédéraux par tirage au sort"". Knonau a accepté l'initiative, contrairement à son canton.","Sì all'Iniziativa sulla giustizia nel comune di Knonau: i cittadini hanno approvato il testo con il 58,2 percento dei voti. Il comune di Knonau approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
8,92.7,92.7,7.3,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung der Justizinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 92,7 Prozent angenommen. Maschwanden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","A Maschwanden, les habitants sont favorables à l'initiative sur la justice. Ils ont validé le texte avec 92,7 pour cent de oui. Maschwanden a accepté l'initiative, contrairement à son canton.","I cittadini di Maschwanden si sono espressi a favore dell'Iniziativa “Per la designazione dei giudici federali mediante sorteggio”. Il testo è stato approvato con il 92,7 percento dei voti. Il comune di Maschwanden approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
9,33.6,33.6,66.4,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Nein zur Justizinitiative in Mettmenstetten. Die Gemeinde hat das Volksbegehren mit 66,4 Prozent abgelehnt. Mettmenstetten hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","A Mettmenstetten, les citoyens rejettent l'initiative sur la justice, avec 66,4 pour cent de non. Mettmenstetten a rejeté l'initiative, tout comme son canton.","Nel comune di Mettmenstetten l'Iniziativa popolare “Per la designazione dei giudici federali mediante sorteggio” è stata respinta con il 66,4 percento dei voti. Il comune di Mettmenstetten bocciando l’iniziativa si è espresso come il suo cantone."
10,10.1,10.1,89.9,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","Nein zur Justizinitiative in Obfelden. Die Gemeinde hat das Volksbegehren mit 89,9 Prozent abgelehnt. Obfelden hat damit gleich wie der Kanton Zürich Nein gesagt zu dieser Vorlage.","A Obfelden, les citoyens rejettent l'initiative sur la justice, avec 89,9 pour cent de non. Obfelden a rejeté l'initiative, tout comme son canton.","Nel comune di Obfelden l'Iniziativa popolare “Per la designazione dei giudici federali mediante sorteggio” è stata respinta con il 89,9 percento dei voti. Il comune di Obfelden bocciando l’iniziativa si è espresso come il suo cantone."
11,73,73,27,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Ja zur Justizinitiative in Ottenbach: Mit 73 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Ottenbach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Les citoyens d'Ottenbach approuvent avec 73 pour cent de oui l'initiative ""Désignation des juges fédéraux par tirage au sort"". Ottenbach a accepté l'initiative, contrairement à son canton.","Sì all'Iniziativa sulla giustizia nel comune di Ottenbach: i cittadini hanno approvato il testo con il 73 percento dei voti. Il comune di Ottenbach approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
12,76.2,76.2,23.8,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","Ja zur Justizinitiative in Rifferswil: Mit 76,2 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Rifferswil hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage abgelehnt hat.","Les citoyens de Rifferswil approuvent avec 76,2 pour cent de oui l'initiative ""Désignation des juges fédéraux par tirage au sort"". Rifferswil a accepté l'initiative, contrairement à son canton.","Sì all'Iniziativa sulla giustizia nel comune di Rifferswil: i cittadini hanno approvato il testo con il 76,2 percento dei voti. Il comune di Rifferswil approvando l’iniziativa è andato controcorrente rispetto al suo cantone."
