"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,34.4,34.4,65.6,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","In Aeugst am Albis hat die Justizinitiative keine Mehrheit gefunden. Auf 65,6 Prozent der abgegebenen Stimmzettel stand ein Nein.","L'initiative sur la justice n'a pas trouvé de majorité à Aeugst am Albis. Le texte a été rejeté avec 65,6 pour cent de non.","Nel comune di Aeugst am Albis l'Iniziativa sulla giustizia è stata bocciata con il 65,6 percento dei voti."
2,33.1,33.1,66.9,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","Keine Mehrheit für die Justizinitiative in Affoltern am Albis: Mit 2'991 Nein-Stimmen zu 1'480 Ja-Stimmen oder 66,9 Prozent hat die Gemeinde das Volksbegehren verworfen.","L'initiative ""Désignation des juges fédéraux par tirage au sort"" n'a pas convaincu à Affoltern am Albis. Les citoyens de la commune ont refusé le texte avec 66,9 pour cent de non.","Con il 66,9 percento di ""no"", i cittadini del comune di Affoltern am Albis hanno bocciato l'Iniziativa sulla giustizia"
3,36.4,36.4,63.6,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","Keine Mehrheit für die Justizinitiative in Bonstetten: Mit 1'659 Nein-Stimmen zu 950 Ja-Stimmen oder 63,6 Prozent hat die Gemeinde das Volksbegehren verworfen.","L'initiative ""Désignation des juges fédéraux par tirage au sort"" n'a pas convaincu à Bonstetten. Les citoyens de la commune ont refusé le texte avec 63,6 pour cent de non.","Con il 63,6 percento di ""no"", i cittadini del comune di Bonstetten hanno bocciato l'Iniziativa sulla giustizia"
4,30.7,30.7,69.3,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","Nein zur Justizinitiative in Hausen am Albis. Die Gemeinde hat das Volksbegehren mit 69,3 Prozent abgelehnt.","A Hausen am Albis, les citoyens rejettent l'initiative sur la justice, avec 69,3 pour cent de non.","Nel comune di Hausen am Albis l'Iniziativa popolare “Per la designazione dei giudici federali mediante sorteggio” è stata respinta con il 69,3 percento dei voti."
5,31.1,31.1,68.9,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","68,9 Prozent der Stimmbürgerinnen und Stimmbürger von Hedingen sagen Nein zur Justizinitiative.","Les habitants de Hedingen s'opposent à l'initiative ""Désignation des juges fédéraux par tirage au sort"" avec 68,9 pour cent de non.","No all'Iniziativa sulla giustizia nel comune di Hedingen: i cittadini hanno bocciato il testo con il 68,9 percento dei voti."
6,31.5,31.5,68.5,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","Keine Mehrheit für die Justizinitiative in Kappel am Albis: Mit 402 Nein-Stimmen zu 185 Ja-Stimmen oder 68,5 Prozent hat die Gemeinde das Volksbegehren verworfen.","L'initiative ""Désignation des juges fédéraux par tirage au sort"" n'a pas convaincu à Kappel am Albis. Les citoyens de la commune ont refusé le texte avec 68,5 pour cent de non.","Con il 68,5 percento di ""no"", i cittadini del comune di Kappel am Albis hanno bocciato l'Iniziativa sulla giustizia"
7,32.7,32.7,67.3,"Knonau ZH","Knonau (ZH)","Knonau ZH","67,3 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau sagen Nein zur Justizinitiative.","Les habitants de Knonau s'opposent à l'initiative ""Désignation des juges fédéraux par tirage au sort"" avec 67,3 pour cent de non.","No all'Iniziativa sulla giustizia nel comune di Knonau: i cittadini hanno bocciato il testo con il 67,3 percento dei voti."
8,31.4,31.4,68.6,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung die Justizinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 68,6 Prozent verworfen.","Les habitants de Maschwanden rejettent à 68,6 pour cent des voix l'initiative sur la justice.","I cittadini di Maschwanden si sono opposti all'iniziativa sulla giustizia. Il testo è stato respinto con il 68,6 percento dei voti."
9,32.5,32.5,67.5,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Nein zur Justizinitiative in Mettmenstetten. Die Gemeinde hat das Volksbegehren mit 67,5 Prozent abgelehnt.","A Mettmenstetten, les citoyens rejettent l'initiative sur la justice, avec 67,5 pour cent de non.","Nel comune di Mettmenstetten l'Iniziativa popolare “Per la designazione dei giudici federali mediante sorteggio” è stata respinta con il 67,5 percento dei voti."
10,32.9,32.9,67.1,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","Nein zur Justizinitiative in Obfelden. Die Gemeinde hat das Volksbegehren mit 67,1 Prozent abgelehnt.","A Obfelden, les citoyens rejettent l'initiative sur la justice, avec 67,1 pour cent de non.","Nel comune di Obfelden l'Iniziativa popolare “Per la designazione dei giudici federali mediante sorteggio” è stata respinta con il 67,1 percento dei voti."
